Date,Open,High,Low,Close,Adj Close,Volume
5/4/2022,301.313324,318.5,295.093323,317.540009,317.540009,81643800
5/5/2022,313.006653,315.200012,285.899994,291.093323,291.093323,92519100
5/6/2022,295.666656,296,281.036682,288.549988,288.549988,72903000
5/9/2022,278.816681,281.876678,260.383331,262.369995,262.369995,90810300
5/10/2022,273.103333,275.119995,258.083344,266.679993,266.679993,84401700
5/11/2022,265,269.92334,242.399994,244.666672,244.666672,97224600
5/12/2022,233.666672,253.220001,226.666672,242.666672,242.666672,140313000
5/13/2022,257.82666,262.450012,250.523331,256.529999,256.529999,92150700
5/16/2022,255.720001,256.58667,239.696671,241.456665,241.456665,86098500
5/17/2022,249.119995,254.82666,242.949997,253.869995,253.869995,80236200
5/18/2022,248.17334,253.5,233.603333,236.603333,236.603333,87811800
5/19/2022,235.666672,244.666672,231.369995,236.473328,236.473328,90296700
5/20/2022,237.996674,240.526672,211,221.300003,221.300003,144973200
5/23/2022,218.339996,226.653336,212.686661,224.96666,224.96666,88903500
5/24/2022,217.843338,217.973328,206.856674,209.386673,209.386673,89092500
5/25/2022,207.949997,223.106674,207.669998,219.600006,219.600006,92139300
5/26/2022,220.473328,239.556671,217.886673,235.910004,235.910004,106003200
5/27/2022,241.083328,253.266663,240.176666,253.210007,253.210007,89295000
5/31/2022,257.946655,259.600006,244.743332,252.753326,252.753326,101914500
6/1/2022,251.720001,257.32666,243.639999,246.789993,246.789993,77247900
6/2/2022,244.156662,264.209991,242.066666,258.333344,258.333344,93473100
6/3/2022,243.226669,247.796661,233.416672,234.516663,234.516663,112393800
6/6/2022,244.353333,244.866669,234.350006,238.279999,238.279999,84204600
6/7/2022,234,239.996674,230.093338,238.886673,238.886673,72808500
6/8/2022,240.08667,249.963333,239.176666,241.866669,241.866669,76210500
6/9/2022,249.339996,255.546661,239.32666,239.706665,239.706665,96491400
6/10/2022,235.156662,239.5,227.91333,232.229996,232.229996,97536600
6/13/2022,223.166672,226.633331,214.683334,215.736664,215.736664,102767400
6/14/2022,218.286667,226.330002,211.736664,220.889999,220.889999,97988700
6/15/2022,220.916672,235.66333,218.149994,233,233,119131800
6/16/2022,222.736664,225.166672,208.693329,213.100006,213.100006,107390700
6/17/2022,213.433334,220.970001,213.196671,216.759995,216.759995,92641800
6/21/2022,224.603333,243.57666,224.333328,237.036667,237.036667,122793000
6/22/2022,234.503326,246.833328,233.82666,236.08667,236.08667,101107500
6/23/2022,237.906662,239.316666,228.636673,235.070007,235.070007,104202600
